ID,馬名,性別,年齢,父,馬体重,オークション日,落札価格,落札時賞金,現在賞金,ROI,リンク,病歴,繁殖
1772,エニーサンダー,牡,3,ダイシンサンダー,434,2025-04-03,1240000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13934,,
842,ブライトノヴァ,牡,3,ウインブライト,474,2025-09-18,1240000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14990,跛行,
1606,クァンタムリード,牡,3,リアルインパクト,426,2025-02-27,1240000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13762,,
2324,ゴールデンナイト,牡,6,ロードカナロア,484,2024-12-12,1240000,9247000,0,-745.7,https://auction.keiba.rakuten.co.jp/item/13494,さく癖 / 骨折,
585,ヴェルドロ,セ,3,ドゥラメンテ,460,2025-08-21,1240000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14724,,
774,コスモマガラニカ,牡,3,ダノンバラード,442,2025-09-07,1240000,5690000,0,-458.9,https://auction.keiba.rakuten.co.jp/item/14921,裂蹄,
1247,スマートヌーメン,牝,4,キズナ,460,2025-07-03,1240000,3295000,0,-265.7,https://auction.keiba.rakuten.co.jp/item/14400,,
1161,ダウントゥアース,牡,3,ジャスタウェイ,480,2025-06-19,1240000,375000,0,-30.2,https://auction.keiba.rakuten.co.jp/item/14313,DDSP / 炎症,
1271,フリットフライ,牡,3,ビッグアーサー,520,2025-07-10,1240000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14424,屈腱炎,
1895,カレンタントミールの23,牡,1,サングレーザー,409,2024-09-26,1240000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13060,脚部不安,
2432,バレドラパン,牝,3,モーリス,454,,1230000,1400000,0,-113.8,https://auction.keiba.rakuten.co.jp/item/15033,骨折,
2307,ジャンバラヤ,牡,3,シルバーステート,426,2024-12-12,1230000,8140000,0,-661.8,https://auction.keiba.rakuten.co.jp/item/13477,,
1095,チャンピオンリボン,牝,3,サンダースノー,420,2025-06-05,1230000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14246,,
1260,コスモカピタン,牡,3,コパノリッキー,462,2025-07-06,1230000,4646000,0,-377.7,https://auction.keiba.rakuten.co.jp/item/14413,,
740,サルーポルティ,牝,3,モーリス,408,2025-09-04,1230000,7050000,0,-573.2,https://auction.keiba.rakuten.co.jp/item/14887,,
404,ラブカマクフィー,牝,3,マクフィ,426,2025-07-24,1230000,2760000,2840000,6.5,https://auction.keiba.rakuten.co.jp/item/14540,跛行,
915,ジークマインド,牝,3,マインドユアビスケッツ,454,2025-04-27,1230000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14063,,
1535,ナイトアウェイ,セ,4,ハーツクライ,450,2025-02-06,1230000,1800000,0,-146.3,https://auction.keiba.rakuten.co.jp/item/13690,旋回癖 / 骨折 / 骨片,
